popup,lat,lng,city,country
"Abbeville,United States",29.9751,-92.1265,Abbeville,United States
"Acapulco,Mexico",16.85,-99.916,Acapulco,Mexico
"Acworth,United States",34.0565,-84.6708,Acworth,United States
"Alabaster,United States",33.2197,-86.8225,Alabaster,United States
"Albuquerque,United States",35.1053,-106.6464,Albuquerque,United States
"Alpharetta,United States",34.0704,-84.2739,Alpharetta,United States
"Andalusia,United States",31.3101,-86.4781,Andalusia,United States
"Anniston,United States",33.6713,-85.8136,Anniston,United States
"Appleton,United States",44.2774,-88.3894,Appleton,United States
"Asheville,United States",35.5706,-82.5537,Asheville,United States
"Atlanta,United States",33.1136,-94.1672,Atlanta,United States
"Atlanta,United States",33.7626,-84.4228,Atlanta,United States
"Augusta,United States",44.3341,-69.7319,Augusta,United States
"Austell,United States",33.8202,-84.6453,Austell,United States
"Austin,United States",30.3006,-97.7517,Austin,United States
"Avondale,United States",33.3858,-112.3236,Avondale,United States
"Bakersfield,United States",35.353,-119.036,Bakersfield,United States
"Baltimore,United States",39.3051,-76.6144,Baltimore,United States
"Bardstown,United States",37.8175,-85.4551,Bardstown,United States
"Barranquilla,Colombia",10.96,-74.8,Barranquilla,Colombia
"Barstow,United States",34.8655,-117.0464,Barstow,United States
"Bay Minette,United States",30.893,-87.7913,Bay Minette,United States
"Beaverton,United States",45.4779,-122.8168,Beaverton,United States
"Bedford Heights,United States",41.4042,-81.5053,Bedford Heights,United States
"Bel Air,United States",39.5348,-76.346,Bel Air,United States
"Berkeley,United States",37.8723,-122.276,Berkeley,United States
"Bessemer City,United States",35.2841,-81.2843,Bessemer City,United States
"Beverly Hills,United States",34.0786,-118.4021,Beverly Hills,United States
"Biloxi,United States",30.4422,-88.9512,Biloxi,United States
"Birmingham,United States",33.5276,-86.7988,Birmingham,United States
"Bishop,United States",37.3665,-118.3958,Bishop,United States
"Bogota,Colombia",4.5964,-74.0833,Bogota,Colombia
"Bologna,Italy",44.5004,11.34,Bologna,Italy
"Boston,United States",42.3188,-71.0846,Boston,United States
"Boulder City,United States",35.8407,-114.9257,Boulder City,United States
"Bradford,United States",41.9604,-78.6413,Bradford,United States
"Braselton,United States",34.1086,-83.8126,Braselton,United States
"Breckenridge,United States",39.4994,-106.0433,Breckenridge,United States
"Bronx,United States",40.8501,-73.8662,Bronx,United States
"Brookhaven,United States",33.8746,-84.3314,Brookhaven,United States
"Brooklyn,United States",40.6501,-73.9496,Brooklyn,United States
"Bucaramanga,Colombia",7.1301,-73.1259,Bucaramanga,Colombia
"Burbank,United States",34.1879,-118.3234,Burbank,United States
"Burlington,United States",44.4877,-73.2314,Burlington,United States
"Cabo San Lucas,Mexico",22.8928,-109.9045,Cabo San Lucas,Mexico
"Calabasas,United States",34.1375,-118.6689,Calabasas,United States
"Cali,Colombia",3.4,-76.5,Cali,Colombia
"Cape Canaveral,United States",28.3934,-80.605,Cape Canaveral,United States
"Cape Coral,United States",26.6444,-81.9956,Cape Coral,United States
"Carlsbad,United States",33.1246,-117.2837,Carlsbad,United States
"Carmel,United States",39.9658,-86.1461,Carmel,United States
"Cartagena,Colombia",10.3997,-75.5144,Cartagena,Colombia
"Castaway Cay, The Bahamas",26.094396,-77.53333,,The Bahamas
"Castle Rock,United States",39.3761,-104.8534,Castle Rock,United States
"Chamblee,United States",33.8842,-84.3008,Chamblee,United States
"Charlotte,United States",42.5662,-84.8304,Charlotte,United States
"Chattanooga,United States",35.0657,-85.2488,Chattanooga,United States
"Chicago,United States",41.8373,-87.6861,Chicago,United States
"Cincinnati,United States",39.1412,-84.5059,Cincinnati,United States
"Clearwater,United States",27.9786,-82.7622,Clearwater,United States
"Clemson,United States",34.6838,-82.8124,Clemson,United States
"Cleveland,United States",41.4767,-81.6805,Cleveland,United States
"Cocoa Beach,United States",28.3328,-80.6274,Cocoa Beach,United States
"Colorado Springs,United States",38.8674,-104.7606,Colorado Springs,United States
"Conyers,United States",33.6645,-83.9967,Conyers,United States
"Cullman,United States",34.1791,-86.8402,Cullman,United States
"Cumming,United States",34.2066,-84.1337,Cumming,United States
"Cuyahoga Falls,United States",41.1641,-81.5206,Cuyahoga Falls,United States
"Dahlonega,United States",34.5302,-83.9796,Dahlonega,United States
"Dallas,United States",32.7937,-96.7662,Dallas,United States
"Dalton,United States",34.7689,-84.9711,Dalton,United States
"Daphne,United States",30.6291,-87.8872,Daphne,United States
"Daytona Beach,United States",29.1995,-81.0982,Daytona Beach,United States
"De Funiak Springs,United States",30.7122,-86.1208,De Funiak Springs,United States
"Denver,United States",39.7621,-104.8759,Denver,United States
"Destin,United States",30.395,-86.4701,Destin,United States
"Detroit,United States",42.3834,-83.1024,Detroit,United States
"Doraville,United States",33.9073,-84.2711,Doraville,United States
"Douglasville,United States",33.7384,-84.7074,Douglasville,United States
"Dunwoody,United States",33.9418,-84.3122,Dunwoody,United States
"Eau Claire,United States",44.8203,-91.4951,Eau Claire,United States
"El Paso,United States",31.8479,-106.4309,El Paso,United States
"Elko,United States",40.8387,-115.7674,Elko,United States
"Escondido,United States",33.1347,-117.0722,Escondido,United States
"Eufaula,United States",31.9102,-85.1505,Eufaula,United States
"Florence,Italy",43.78,11.25,Florence,Italy
"Fort Myers,United States",26.6195,-81.8302,Fort Myers,United States
"Fort Walton Beach,United States",30.4245,-86.6193,Fort Walton Beach,United States
"Gadsden,United States",34.009,-86.0156,Gadsden,United States
"Garden City,United States",40.7266,-73.6447,Garden City,United States
"Georgetown,United States",38.6899,-75.3872,Georgetown,United States
"Grand Turk,Turks And Caicos Islands",21.4664,-71.136,Grand Turk,Turks And Caicos Islands
"Grants Pass,United States",42.4333,-123.3317,Grants Pass,United States
"Green Bay,United States",44.515,-87.9896,Green Bay,United States
"Grosse Pointe Park,United States",42.3794,-82.9288,Grosse Pointe Park,United States
"Guadalajara,Mexico",20.67,-103.33,Guadalajara,Mexico
"Gulf Shores,United States",30.2727,-87.7073,Gulf Shores,United States
"Guntersville,United States",34.3674,-86.2634,Guntersville,United States
"Half Moon Bay,United States",37.4687,-122.4383,Half Moon Bay,United States
"Hamilton,Bermuda",32.2942,-64.7839,Hamilton,Bermuda
"Hermosa Beach,United States",33.8653,-118.3966,Hermosa Beach,United States
"Hialeah,United States",25.8696,-80.3045,Hialeah,United States
"High Point,United States",35.9902,-79.9938,High Point,United States
"Hollywood,United States",32.7523,-80.2107,Hollywood,United States
"Homewood,United States",33.4617,-86.8092,Homewood,United States
"Honolulu,United States",21.3294,-157.846,Honolulu,United States
"Hood River,United States",45.7093,-121.5258,Hood River,United States
"Hopkinsville,United States",36.8381,-87.4777,Hopkinsville,United States
"Hueytown,United States",33.4237,-87.0221,Hueytown,United States
"Huntington Beach,United States",33.696,-118.0025,Huntington Beach,United States
"Huntsville,United States",34.6989,-86.6414,Huntsville,United States
"Indianapolis,United States",39.7771,-86.1458,Indianapolis,United States
